,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hilo,90,US,1566598262,74,19.71,-155.08,82.4,10.29
1,Longyearbyen,75,NO,1566598263,73,78.22,15.63,39.2,6.93
2,Geraldton,20,CA,1566598263,52,49.72,-86.95,64.4,3.78
3,Saint George,0,GR,1566598263,47,39.45,22.34,82.0,2.06
4,New Norfolk,20,AU,1566598263,61,-42.78,147.06,57.0,12.75
5,Rikitea,100,PF,1566597813,67,-23.12,-134.97,70.99,16.08
6,Hamilton,75,CA,1566598241,52,43.26,-79.87,73.99,9.17
7,Esperance,75,AU,1566598264,100,-33.86,121.89,46.4,6.93
8,Polunochnoye,94,RU,1566598264,76,60.87,60.43,54.97,15.57
9,Port Alfred,0,ZA,1566598264,93,-33.59,26.89,57.99,5.01
10,Bluff,0,AU,1566598265,85,-23.58,149.07,54.61,9.28
11,Marrakesh,75,MA,1566598265,21,31.63,-7.99,95.0,8.05
12,Kapaa,1,US,1566598265,66,22.08,-159.32,87.8,10.29
13,Havoysund,75,NO,1566598265,93,71.0,24.66,44.6,11.41
14,Busselton,9,AU,1566598265,72,-33.64,115.35,36.0,12.41
15,Punta Arenas,90,CL,1566598266,87,-53.16,-70.91,42.8,13.87
16,Vila,0,IT,1566598266,94,45.18,8.4,73.99,3.36
17,Ushuaia,75,AR,1566598266,96,-54.81,-68.31,42.8,9.17
18,Itarema,0,BR,1566598266,73,-2.92,-39.92,77.47,11.74
19,Manado,20,ID,1566598267,94,1.49,124.85,69.8,2.24
20,Severo-Kurilsk,88,RU,1566598267,91,50.68,156.12,48.49,0.67
21,Thompson,75,CA,1566598267,77,55.74,-97.86,64.4,5.82
22,Saint-Philippe,90,CA,1566598267,37,45.36,-73.48,73.0,8.05
23,Roald,100,NO,1566598267,93,62.58,6.12,57.2,5.82
24,Bongandanga,69,CD,1566598268,77,1.51,21.07,74.59,2.84
25,Lorengau,0,PG,1566598268,81,-2.02,147.27,80.35,12.06
26,Narsaq,16,GL,1566598268,57,60.91,-46.05,50.0,9.17
27,Port Lincoln,30,AU,1566598268,81,-34.72,135.86,58.39,24.43
28,Mao,40,DO,1566598268,49,19.55,-71.08,93.2,20.8
29,Albany,75,US,1566598005,53,42.65,-73.75,75.0,8.05
30,Puerto Ayora,0,EC,1566598269,57,-0.74,-90.35,80.6,14.99
31,Barrow,100,AR,1566598269,55,-38.31,-60.23,57.31,6.64
32,Tiksi,100,RU,1566598269,99,71.64,128.87,46.69,3.11
33,Manggar,25,ID,1566598270,92,-2.88,108.27,73.51,4.61
34,Provideniya,85,RU,1566598270,66,64.42,-173.23,49.93,8.7
35,Mar del Plata,100,AR,1566598270,45,-46.43,-67.52,52.27,10.02
36,Miami,75,US,1566598232,66,25.77,-80.19,88.0,3.36
37,Marand,0,IR,1566598270,24,38.43,45.77,82.4,18.34
38,Mount Pleasant,1,US,1566597990,44,33.16,-94.97,97.0,6.24
39,Shitanjing,0,CN,1566598271,67,39.23,106.34,61.81,5.19
40,Durban,100,CA,1566598271,62,51.93,-101.44,75.31,8.37
41,Kaitangata,78,NZ,1566598271,67,-46.28,169.85,46.99,5.99
42,Jamestown,0,AU,1566598272,42,-33.21,138.6,49.75,11.41
43,Dingle,100,PH,1566598272,90,11.0,122.67,74.59,7.38
44,Yellowknife,90,CA,1566598272,66,62.45,-114.38,55.4,14.99
45,Pasir Gudang,75,MY,1566598273,83,1.46,103.88,82.4,9.17
46,Souillac,0,FR,1566598273,38,45.6,-0.6,75.2,5.82
47,Pelym,98,RU,1566598273,71,61.01,62.0,57.31,14.85
48,Ilulissat,20,GL,1566598273,61,69.22,-51.1,46.4,4.7
49,Ancud,90,CL,1566598273,100,-41.87,-73.83,50.0,16.11
50,Ribeira Grande,27,PT,1566598274,84,38.52,-28.7,70.27,16.98
51,Abu Dhabi,0,AE,1566598103,46,24.47,54.37,96.8,4.7
52,Tostedt,31,DE,1566598274,77,53.28,9.71,64.99,4.7
53,Klaksvik,100,FO,1566598006,100,62.23,-6.59,51.8,14.99
54,Avarua,0,CK,1566598274,69,-21.21,-159.78,77.0,16.11
55,Quepos,40,CR,1566598275,51,9.43,-84.16,82.4,18.34
56,Grindavik,75,IS,1566598275,87,63.84,-22.43,53.6,5.82
57,Atuona,0,PF,1566598275,76,-9.8,-139.03,78.73,17.83
58,Hermanus,0,ZA,1566598275,92,-34.42,19.24,64.99,3.0
59,Clyde River,90,CA,1566598276,81,70.47,-68.59,51.8,20.8
60,Anadyr,40,RU,1566598276,81,64.73,177.51,53.6,2.24
61,Qaanaaq,100,GL,1566597983,65,77.48,-69.36,36.79,19.01
62,Norman Wells,90,CA,1566598276,62,65.28,-126.83,53.6,4.7
63,Sao Filipe,100,CV,1566598276,74,14.9,-24.5,78.01,7.65
64,Vaini,100,IN,1566598277,90,15.34,74.49,76.57,1.48
65,Prince Rupert,90,CA,1566598277,87,54.32,-130.32,57.2,11.41
66,Ahuimanu,75,US,1566598017,58,21.44,-157.84,89.6,5.82
67,Cape Town,0,ZA,1566598277,93,-33.93,18.42,64.99,2.24
68,Spornoye,0,RU,1566598278,72,50.84,37.29,66.2,8.95
69,Naze,100,NG,1566598278,93,5.43,7.07,71.89,3.85
70,Kodiak,1,US,1566598278,61,39.95,-94.76,82.99,10.29
71,Mataura,95,NZ,1566598278,79,-46.19,168.86,46.0,8.01
72,Iquique,90,CL,1566598278,67,-20.22,-70.14,60.8,8.05
73,Castro,90,CL,1566598279,100,-42.48,-73.76,50.0,16.11
74,Port Elizabeth,20,US,1566598279,82,39.31,-74.98,70.0,4.7
75,San Rafael,100,AR,1566598010,24,-34.61,-68.33,69.73,11.34
76,Mahebourg,40,MU,1566598279,93,-20.41,57.7,66.99,2.24
77,Broome,0,GB,1566598279,82,52.47,1.45,64.99,5.82
78,San Jose,0,HN,1566598280,30,14.25,-87.96,87.01,4.41
79,Lagoa,0,PT,1566598280,73,37.14,-8.45,75.0,4.7
80,Luanda,20,AO,1566598054,88,-8.83,13.24,71.6,6.93
81,Fernley,75,US,1566598263,15,39.61,-119.25,91.99,6.93
82,Hobart,20,AU,1566598275,61,-42.88,147.33,57.0,12.75
83,Sebaste,100,PH,1566598280,83,11.59,122.1,80.35,18.03
84,Hithadhoo,67,MV,1566598280,68,-0.6,73.08,82.69,7.29
85,Vila Franca do Campo,40,PT,1566598281,88,37.72,-25.43,75.2,5.82
86,Rossland,100,CA,1566598281,34,49.08,-117.8,79.0,1.99
87,San Patricio,0,PY,1566598281,67,-26.98,-56.83,63.61,3.36
88,Methoni,0,GR,1566598281,69,36.82,21.7,81.0,3.36
89,Santo Augusto,0,BR,1566598281,76,-27.85,-53.78,56.41,6.11
90,Chuy,0,UY,1566598049,82,-33.69,-53.46,49.21,4.45
91,Saldanha,0,PT,1566598282,29,41.42,-6.55,77.11,3.76
92,Hasaki,75,JP,1566598282,100,35.73,140.83,77.0,2.24
93,Tuktoyaktuk,90,CA,1566598282,87,69.44,-133.03,44.6,8.05
94,Lebu,75,ET,1566598283,93,8.96,38.73,57.2,6.93
95,Palmer,0,AU,1566598283,57,-34.85,139.16,55.99,11.41
96,Pevek,79,RU,1566598283,82,69.7,170.27,40.57,2.68
97,Nisia Floresta,0,BR,1566598283,73,-6.09,-35.21,77.0,12.75
98,Mezen,100,RU,1566598284,87,65.85,44.24,50.83,5.79
99,Humaita,0,AR,1566598284,30,-24.93,-65.37,69.8,13.87
100,Dzilam Gonzalez,70,MX,1566598284,74,21.28,-88.93,88.0,10.0
101,Srednekolymsk,3,RU,1566598284,44,67.46,153.71,63.97,6.46
102,Padang,15,ID,1566598285,84,-0.92,100.36,81.07,18.84
103,Lake City,40,US,1566598285,18,38.03,-107.32,79.0,6.93
104,Muncar,36,ID,1566598285,97,-8.43,114.34,66.67,2.26
105,Awjilah,0,LY,1566598285,72,29.14,21.3,77.29,16.15
106,Deputatskiy,75,RU,1566598285,73,69.3,139.9,54.97,2.71
107,Capreol,75,CA,1566598286,59,46.71,-80.92,64.0,9.17
108,Sur,0,OM,1566598286,66,22.57,59.53,81.07,11.43
109,Santo Antonio de Jesus,46,BR,1566597987,96,-12.97,-39.26,66.13,4.72
110,Bathsheba,40,BB,1566598156,66,13.22,-59.52,86.0,11.41
111,Bethel,1,US,1566598287,67,60.79,-161.76,60.8,9.17
112,Yar-Sale,100,RU,1566598287,87,66.83,70.83,49.39,6.6
113,Shurugwi,0,ZW,1566598287,56,-19.67,30.0,49.75,7.49
114,Broken Hill,0,AU,1566598287,45,-31.97,141.45,48.2,6.93
115,Vitim,100,RU,1566598288,96,59.44,112.57,49.57,4.85
116,Laguna,20,BZ,1566598288,66,16.17,-88.94,91.4,9.17
117,Talaya,0,RU,1566598288,93,55.79,84.89,53.6,6.71
118,Bambous Virieux,40,MU,1566598288,93,-20.34,57.76,66.99,2.24
119,Aras,37,ES,1566598288,64,42.56,-2.36,73.4,2.24
120,Jiazi,40,CN,1566598289,94,19.61,110.49,77.0,2.24
121,Port Moresby,75,PG,1566598289,88,-9.47,147.16,73.4,3.36
122,Vardo,90,US,1566598289,82,39.62,-77.74,71.01,1.34
123,Marovoay,40,MG,1566598289,65,-16.11,46.64,78.8,2.24
124,Dikson,100,RU,1566598290,92,73.51,80.55,40.57,23.58
125,Laurinburg,90,US,1566598290,83,34.77,-79.46,88.0,10.29
126,Huron,75,US,1566598290,51,44.36,-98.21,82.4,17.22
127,Vanimo,42,PG,1566598290,84,-2.67,141.3,80.17,12.88
128,Am Timan,100,TD,1566598290,89,11.04,20.28,72.25,3.38
129,Kruisfontein,0,ZA,1566598291,93,-34.0,24.73,53.89,3.91
130,Cherskiy,8,RU,1566598291,44,68.75,161.3,58.03,6.15
131,Faanui,0,PF,1566598291,73,-16.48,-151.75,78.19,10.78
132,Victoria,75,BN,1566598291,83,5.28,115.24,80.6,3.36
133,Luderitz,0,NA,1566598292,20,-26.65,15.16,73.4,2.24
134,Carnarvon,0,ZA,1566598292,23,-30.97,22.13,61.45,8.48
135,Lismore,0,AU,1566598292,93,-28.81,153.28,55.99,6.93
136,Mount Isa,0,AU,1566598292,45,-20.73,139.49,46.4,10.51
137,Nikolskoye,90,RU,1566597812,87,59.7,30.79,61.0,6.71
138,Marquette,75,US,1566598293,52,46.54,-87.4,66.2,9.17
139,Rovaniemi,90,FI,1566598293,100,66.5,25.72,50.0,6.93
140,College,75,US,1566598293,76,64.86,-147.8,59.0,4.7
141,Coahuayana,19,MX,1566598293,64,18.62,-100.35,85.75,2.51
142,Gaur,100,NP,1566598294,81,26.77,85.27,80.35,11.95
143,Tautira,20,PF,1566598069,61,-17.73,-149.15,82.4,5.82
144,Upernavik,0,GL,1566598294,53,72.79,-56.15,40.03,4.7
145,Hornepayne,54,CA,1566598294,43,49.22,-84.78,70.63,0.69
146,Kjopsvik,35,NO,1566598294,87,68.1,16.37,52.0,16.11
147,Leh,1,IN,1566598295,43,34.16,77.58,46.15,4.7
148,Ixtapa,75,MX,1566598295,63,20.71,-105.21,91.4,9.17
149,Collie,1,AU,1566598295,72,-33.36,116.15,36.0,3.67
150,Camacha,40,PT,1566598295,83,33.08,-16.33,73.4,11.41
151,Tiznit,7,MA,1566598296,68,29.7,-9.73,73.15,10.6
152,Khuzhir,0,RU,1566598296,73,53.19,107.35,52.63,6.42
153,Karratha,0,AU,1566598296,52,-20.74,116.85,67.03,12.28
154,Alice Springs,0,AU,1566598296,44,-23.7,133.88,39.2,6.93
155,Khani,75,GE,1566598297,94,41.96,42.96,73.4,2.24
156,East London,1,ZA,1566598297,94,-33.02,27.91,56.95,6.82
157,Lompoc,1,US,1566598297,68,34.64,-120.46,82.0,14.99
158,Mantua,40,IT,1566598297,73,45.16,10.79,77.0,3.36
159,Lasa,20,CY,1566598298,88,34.92,32.53,80.6,3.36
160,Savonlinna,90,FI,1566598298,93,61.87,28.88,57.2,3.36
161,Saint-Joseph,0,FR,1566598298,88,43.56,6.97,77.0,2.24
162,Comodoro Rivadavia,0,AR,1566598298,58,-45.87,-67.48,59.0,3.36
163,Butaritari,87,KI,1566598298,70,3.07,172.79,84.13,7.78
164,Zhuhai,20,CN,1566598299,76,40.71,112.04,57.2,4.47
165,Iskateley,56,RU,1566598299,91,67.68,53.15,43.09,11.01
166,Katsuura,75,JP,1566598299,94,33.93,134.5,75.2,4.7
167,Nokaneng,0,BW,1566598299,26,-19.66,22.19,59.47,5.41
168,Montemor-o-Novo,0,PT,1566598300,44,38.65,-8.21,78.8,10.29
169,Sao Miguel do Iguacu,0,BR,1566598300,56,-25.35,-54.24,73.4,5.82
170,Aklavik,40,CA,1566598300,62,68.22,-135.01,55.4,2.24
171,Show Low,20,US,1566598285,18,34.25,-110.03,95.0,10.29
172,Vostok,100,RU,1566598300,90,46.45,135.83,52.45,1.48
173,Mamlyutka,27,KZ,1566598301,78,54.94,68.54,61.45,11.41
174,Marabba,1,SD,1566598301,83,12.35,32.18,75.31,7.29
175,Grand-Lahou,73,CI,1566598301,94,5.24,-5.0,72.79,4.99
176,Brownsville,20,US,1566598301,56,25.91,-97.49,96.8,16.11
177,Namatanai,100,PG,1566598302,81,-3.66,152.44,78.37,12.12
178,Bredasdorp,0,ZA,1566598302,87,-34.53,20.04,54.0,5.82
179,Elat,98,CM,1566598302,96,2.91,11.16,67.93,4.27
180,Kearney,40,US,1566598302,73,40.7,-99.08,79.0,13.87
181,Nome,1,US,1566598303,70,30.04,-94.42,86.0,10.29
182,Inhambane,9,MZ,1566598303,93,-23.87,35.38,58.57,2.55
183,Yerbogachen,99,RU,1566598303,89,61.28,108.01,49.03,2.04
184,Sitka,100,US,1566597812,66,37.17,-99.65,87.01,17.0
185,Shelburne,20,CA,1566598303,45,44.08,-80.2,71.6,12.75
186,Ojinaga,1,US,1566598304,23,29.56,-104.41,96.8,2.8
187,Heihe,20,RU,1566598304,100,50.24,127.51,53.6,3.49
188,Pascagoula,1,US,1566598304,74,30.37,-88.56,89.6,9.17
189,Celestun,46,MX,1566598304,78,20.87,-90.4,82.87,14.97
190,Torbay,75,CA,1566598305,83,47.66,-52.73,75.0,9.17
191,Laranjeiras do Sul,0,BR,1566598305,74,-25.41,-52.42,59.65,2.71
192,Saskylakh,100,RU,1566598305,77,71.97,114.09,50.83,3.94
193,Kishi,92,NG,1566598305,91,9.08,3.85,72.43,9.48
194,Bud,100,NO,1566598305,100,62.91,6.91,55.4,5.82
195,Riyadh,0,SA,1566598180,15,24.63,46.72,89.6,4.7
196,Saint-Pierre,0,FR,1566598306,59,48.95,4.24,66.2,6.93
197,Balti,0,MD,1566598306,60,47.76,27.93,71.01,3.36
198,Cootamundra,0,AU,1566598306,73,-34.64,148.03,43.0,1.99
199,Alofi,40,NU,1566598306,78,-19.06,-169.92,82.4,9.17
200,Kavieng,68,PG,1566598306,77,-2.57,150.8,82.87,10.96
201,Te Anau,87,NZ,1566598307,81,-45.41,167.72,40.93,7.36
202,Sumenep,85,ID,1566598029,93,-7.02,113.87,70.99,1.83
203,Peterhead,0,AU,1566598307,57,-34.83,138.5,55.99,11.41
204,Nizhnyaya Tavda,0,RU,1566598307,93,57.67,66.17,53.35,8.93
205,Merauke,100,ID,1566598307,80,-8.49,140.4,74.23,17.05
206,Vila Velha,0,BR,1566598308,74,-3.71,-38.6,86.0,11.41
207,Brae,100,GB,1566598308,87,60.4,-1.35,57.2,13.87
208,Ponta do Sol,20,BR,1566598308,53,-20.63,-46.0,68.11,6.55
209,Hambantota,75,LK,1566598308,100,6.12,81.12,75.2,6.93
210,Ugoofaaru,100,MV,1566598309,75,5.67,73.0,82.15,8.84
211,Mayo,90,CA,1566598309,54,63.59,-135.9,55.4,6.93
212,Sassandra,82,CI,1566598309,96,4.95,-6.09,72.79,5.06
213,Evensk,100,RU,1566598309,94,61.92,159.24,53.35,7.05
214,Wladyslawowo,0,PL,1566598309,82,54.79,18.4,66.0,2.24
215,Hoquiam,1,US,1566598310,77,46.98,-123.89,75.99,8.05
216,Muros,75,ES,1566598310,88,42.77,-9.06,66.2,3.36
217,Paamiut,0,GL,1566598310,86,61.99,-49.67,41.29,11.07
218,Erenhot,100,CN,1566598311,39,43.65,111.97,70.81,9.42
219,Huntly,0,GB,1566598311,77,57.44,-2.79,62.6,4.7
220,Pisco,0,PE,1566598311,30,-13.71,-76.2,71.6,6.93
221,Carauari,39,BR,1566598311,42,-4.88,-66.9,92.77,3.78
222,Lata,6,IN,1566598311,93,30.78,78.62,40.57,0.98
223,Ampanihy,4,MG,1566598312,88,-24.69,44.75,62.71,9.08
224,Bandarbeyla,82,SO,1566598312,68,9.49,50.81,78.37,17.76
225,Vanderhoof,96,CA,1566598312,75,54.02,-124.02,57.67,3.67
226,Middelburg,0,NL,1566598312,77,51.5,3.61,69.01,9.17
227,Los Llanos de Aridane,0,ES,1566598313,83,28.66,-17.92,79.0,14.99
228,Zyryanka,91,RU,1566598313,53,65.73,150.89,66.49,4.56
229,San-Pedro,91,CI,1566598313,97,4.75,-6.64,72.61,3.83
230,Berdigestyakh,67,RU,1566598058,90,62.1,126.7,52.27,3.22
231,Choya,100,RU,1566598313,96,52.01,86.55,51.55,3.65
232,Khash,0,IR,1566598314,21,28.22,61.21,63.61,6.38
233,Ahipara,3,NZ,1566598314,100,-35.17,173.16,57.99,1.99
234,Benghazi,0,LY,1566598314,73,32.12,20.07,79.63,18.81
235,Poum,0,MK,1566598314,56,41.28,20.71,69.8,3.36
236,Xuddur,77,SO,1566598315,66,4.12,43.89,77.11,21.21
237,Salinopolis,0,BR,1566598315,81,-0.61,-47.36,80.17,15.19
238,Oistins,40,BB,1566598315,66,13.07,-59.53,86.0,11.41
239,Vao,100,EE,1566598315,95,59.1,26.19,60.19,11.79
240,Nuevo Progreso,75,US,1566598316,35,26.05,-97.95,102.2,12.75
241,Voh,21,NC,1566598316,68,-20.95,164.69,68.29,21.47
242,Minsk,0,BY,1566598152,93,53.9,27.56,51.8,2.24
243,Peniche,75,PT,1566598316,100,39.36,-9.38,73.4,5.82
244,Merrill,1,US,1566598316,24,42.03,-121.6,87.01,3.36
245,Valparaiso,40,US,1566598317,49,41.47,-87.06,75.2,9.17
246,Honningsvag,75,NO,1566598317,93,70.98,25.97,46.4,3.36
247,Baruun-Urt,100,MN,1566598317,78,46.68,113.28,54.61,1.97
248,Vila do Maio,75,CV,1566598317,83,15.13,-23.22,75.2,8.05
249,Pacifica,20,US,1566598318,57,37.61,-122.49,82.99,16.11
250,Cartago,40,CR,1566598319,51,9.86,-83.92,82.4,18.34
251,Chokurdakh,38,RU,1566598319,60,70.62,147.9,53.53,3.89
252,Starobaltachevo,88,RU,1566598319,86,56.0,55.92,54.25,6.31
253,Tasiilaq,100,GL,1566598320,75,65.61,-37.64,42.8,4.7
254,Jatai,0,IN,1566598320,59,28.97,76.18,85.57,4.65
255,Taman,0,RU,1566598320,54,45.22,36.72,78.8,11.18
256,Balod,47,IN,1566598320,89,20.73,81.21,76.03,5.95
257,Oussouye,40,SN,1566598320,83,12.49,-16.54,80.6,9.17
258,Malanje,46,AO,1566598321,27,-9.54,16.35,67.75,4.63
259,Moreira Sales,0,BR,1566598321,50,-24.05,-53.01,70.45,6.38
260,Santa Marta,75,CO,1566598249,70,11.24,-74.21,89.6,11.41
261,Sibu,75,MY,1566598321,94,2.29,111.83,75.2,2.48
262,Dunedin,33,NZ,1566598322,54,-45.87,170.5,51.01,10.0
263,Sao Caetano de Odivelas,5,BR,1566598322,78,-0.75,-48.02,81.79,21.77
264,Georgetown,20,GY,1566598038,70,6.8,-58.16,86.0,9.17
265,Hervey Bay,90,AU,1566598323,82,-25.3,152.85,62.01,6.93
266,Balkanabat,0,TM,1566598323,14,39.51,54.36,93.31,12.8
267,Senno,99,RU,1566598323,63,57.76,27.95,64.4,11.18
268,Waddan,0,LY,1566598323,53,29.16,16.14,78.01,9.17
269,Belaya Gora,24,RU,1566598323,46,68.54,146.19,61.45,2.01
270,Kieta,73,PG,1566598324,80,-6.22,155.63,79.81,5.14
271,Saint-Francois,0,FR,1566598324,82,46.42,3.91,62.6,4.21
272,Manta,73,RO,1566598324,49,45.1,24.1,75.13,7.05
273,Suntar,0,RU,1566598324,96,62.16,117.65,48.67,2.39
274,Panama City,40,US,1566598121,70,30.16,-85.65,87.8,10.29
